"","Date","Infl_f","BOT_f","FER_f","Int_f","GDPG_f","CA_f","Exchange","Country"
"1",1991-02-01,3.9,NA,NA,NA,734.185777288831,-55806.140771259,-0.00112547007440124,"europe"
"2",1991-03-01,4.1,NA,NA,NA,696.992219754462,-53704.9284481767,-0.00116162397179347,"europe"
"3",1991-04-01,3.9,NA,NA,NA,661.07460601531,-51657.065853188,-0.00119934543244542,"europe"
"4",1991-05-01,3.9,NA,NA,NA,626.410713849155,-49661.867801108,-0.00123872048627143,"europe"
"5",1991-06-01,4.1,NA,NA,NA,592.978321033773,-47718.6491067514,-0.00127984090221445,"europe"
"6",1991-07-01,4.3,NA,NA,NA,560.755205346943,-45826.724584933,-0.00132280464083099,"europe"
"7",1991-08-01,5,NA,NA,NA,529.719144566441,-43985.4090504676,-0.00136771634822132,"europe"
"8",1991-09-01,4.5,NA,NA,NA,499.847916470047,-42194.0173181701,-0.0014146878956136,"europe"
"9",1991-10-01,3.9,NA,NA,NA,471.119298835538,-40451.8642028553,-0.00146383896941619,"europe"
"10",1991-11-01,3.7,NA,NA,NA,443.511069440691,-38758.2645193379,-0.0015152977171252,"europe"
"11",1991-12-01,4.1,NA,NA,NA,417.001006063284,-37112.5330824328,-0.00156920145512233,"europe"
"12",1992-01-01,4.1,NA,NA,NA,391.566886481095,-35513.9847069548,-0.00162569744513348,"europe"
"13",1992-02-01,3.9,NA,NA,NA,367.186488471903,-33961.9342077187,-0.00168494374695439,"europe"
"14",1992-03-01,3.8,NA,NA,NA,343.837589813484,-32455.6963995394,-0.00174711015599989,"europe"
"15",1992-04-01,4.3,NA,NA,NA,321.497968283616,-30994.5860972316,-0.00181237923531706,"europe"
"16",1992-05-01,4.2,NA,NA,NA,300.145401660078,-29577.9181156102,-0.00188094745293947,"europe"
"17",1992-06-01,4,NA,NA,NA,279.757667720646,-28205.00726949,-0.00195302643687374,"europe"
"18",1992-07-01,3.9,NA,NA,NA,260.312544243099,-26875.1683736858,-0.00202884436162971,"europe"
"19",1992-08-01,3.3,NA,NA,NA,241.787809005215,-25587.7162430123,-0.00210864748206448,"europe"
"20",1992-09-01,3.3,NA,NA,NA,224.161239784771,-24341.9656922845,-0.00219270183244676,"europe"
