"","Pct_Chg","Exchange","X1Y_Yield_d","X1Y_Yield_f","Int_d","Int_f","Infl_d","Infl_f","GDPG_d","GDPG_f","BOT_f","BOT_d","FER_f","lag1.Exchange","lag1.X1Y_Yield_d","lag1.X1Y_Yield_f","lag1.Infl_d","lag1.Infl_f","lag1.Int_d","lag1.Int_f","lag2.Exchange","lag2.X1Y_Yield_d","lag2.X1Y_Yield_f","lag2.Infl_d","lag2.Infl_f","lag2.Int_d","lag2.Int_f","lag3.Exchange","lag3.X1Y_Yield_d","lag3.X1Y_Yield_f","lag3.Infl_d","lag3.Infl_f","lag3.Int_d","lag3.Int_f","lag4.Exchange","lag4.X1Y_Yield_d","lag4.X1Y_Yield_f","lag4.Infl_d","lag4.Infl_f","lag4.Int_d","lag4.Int_f"
"523",0.101853503227757,1021.0341,5.34029566714133,0.572310397371476,0.25,2.5,2,1.6,-93320.3794204462,7888.12194808692,2340.63,-40655,368026,1018.7443,4.6,0.5,2.1,1.7,0.25,2.5,1024.7867,2.56109247149206,0.645477607337394,2.1,1.7,0.25,2.5,1042.635,0.269941696908154,0.901017510937569,2,1.5,0.25,2.5,1070.491,-0.899999999999999,1.1,1.5,1.3,0.25,2.5
"524",0.0892018935142259,1024.55,5.04394569146974,0.734558498480171,0.25,2.25,1.7,1.4,-96138.9812597642,7719.12120145146,3316.5,-39916,367534,1021.0341,5.34029566714133,0.572310397371476,2,1.6,0.25,2.5,1018.7443,4.6,0.5,2.1,1.7,0.25,2.5,1024.7867,2.56109247149206,0.645477607337394,2.1,1.7,0.25,2.5,1042.635,0.269941696908154,0.901017510937569,2,1.5,0.25,2.5
"525",0.044811743779319,1035.8914,4.3,0.8,0.25,2.25,1.7,1.1,-97905,7410,3261.51,-43368,364407,1024.55,5.04394569146974,0.734558498480171,1.7,1.4,0.25,2.25,1021.0341,5.34029566714133,0.572310397371476,2,1.6,0.25,2.5,1018.7443,4.6,0.5,2.1,1.7,0.25,2.5,1024.7867,2.56109247149206,0.645477607337394,2.1,1.7,0.25,2.5
"526",0.00520721782597369,1060.3359,3.57998674563762,0.646777936613565,0.25,2,1.7,1.2,-97219.3152177671,7010.09998860881,7533.24,-41898,363723,1035.8914,4.3,0.8,1.7,1.1,0.25,2.25,1024.55,5.04394569146974,0.734558498480171,1.7,1.4,0.25,2.25,1021.0341,5.34029566714133,0.572310397371476,2,1.6,0.25,2.5,1018.7443,4.6,0.5,2.1,1.7,0.25,2.5
"532",-0.0387545199193599,1084.6709,1.59431718646302,0.650169897948642,0.25,1.75,-0.2,0.4,-86818.4681705129,11270.7542881465,8488,-40879,369902,1112.9005,0.6,0.8,-0.1,0.4,0.25,1.75,1101.4605,0.551703406162565,0.681769388033621,0,0.5,0.25,2,1088.13,1.20272031327113,0.440577856174263,-0.1,0.8,0.25,2,1102.6224,2.1,0.3,0.8,0.8,0.25,2
"533",-0.0620973214788266,1092.6365,2.95598753864671,0.401078493568039,0.25,1.75,0,0.5,-44696.9058360807,11724.99128631,6320,-43473,371506,1084.6709,1.59431718646302,0.650169897948642,-0.2,0.4,0.25,1.75,1112.9005,0.6,0.8,-0.1,0.4,0.25,1.75,1101.4605,0.551703406162565,0.681769388033621,0,0.5,0.25,2,1088.13,1.20272031327113,0.440577856174263,-0.1,0.8,0.25,2
"534",-0.0845900989429978,1112.8832,3.9,0.3,0.25,1.5,0.1,0.7,-11109,11872.3,9980,-46287,374749,1092.6365,2.95598753864671,0.401078493568039,0,0.5,0.25,1.75,1084.6709,1.59431718646302,0.650169897948642,-0.2,0.4,0.25,1.75,1112.9005,0.6,0.8,-0.1,0.4,0.25,1.75,1101.4605,0.551703406162565,0.681769388033621,0,0.5,0.25,2
"535",-0.109470193453944,1146.5468,3.8496405705064,0.51800181129043,0.25,1.5,0.2,0.7,-4151.43427612938,11777.0751203066,7723,-42460,370822,1112.8832,3.9,0.3,0.1,0.7,0.25,1.5,1092.6365,2.95598753864671,0.401078493568039,0,0.5,0.25,1.75,1084.6709,1.59431718646302,0.650169897948642,-0.2,0.4,0.25,1.75,1112.9005,0.6,0.8,-0.1,0.4,0.25,1.75
"536",-0.130369314849342,1178.1438,3.06138347628764,0.92132404510163,0.25,1.5,0.2,0.7,-37592.8787205738,11440.1340806423,4270,-48839,367938,1146.5468,3.8496405705064,0.51800181129043,0.2,0.7,0.25,1.5,1112.8832,3.9,0.3,0.1,0.7,0.25,1.5,1092.6365,2.95598753864671,0.401078493568039,0,0.5,0.25,1.75,1084.6709,1.59431718646302,0.650169897948642,-0.2,0.4,0.25,1.75
"537",-0.125335506151157,1184.33,2,1.3,0.25,1.5,0,0.6,-124120,10846.4,8900,-42484,368114,1178.1438,3.06138347628764,0.92132404510163,0.2,0.7,0.25,1.5,1146.5468,3.8496405705064,0.51800181129043,0.2,0.7,0.25,1.5,1112.8832,3.9,0.3,0.1,0.7,0.25,1.5,1092.6365,2.95598753864671,0.401078493568039,0,0.5,0.25,1.75
"538",-0.0724835308638304,1143.199,1.08860201299285,1.45930433837112,0.25,1.5,0.2,0.9,-276419.464781075,9983.97486025659,6690,-44610,369601,1184.33,2,1.3,0,0.6,0.25,1.5,1178.1438,3.06138347628764,0.92132404510163,0.2,0.7,0.25,1.5,1146.5468,3.8496405705064,0.51800181129043,0.2,0.7,0.25,1.5,1112.8832,3.9,0.3,0.1,0.7,0.25,1.5
"539",-0.0482016860225747,1153.4721,0.583663741387908,1.26547717787729,0.25,1.5,0.5,1,-507177.939730464,8853.67609482449,10320,-42226,368463,1143.199,1.08860201299285,1.45930433837112,0.2,0.9,0.25,1.5,1184.33,2,1.3,0,0.6,0.25,1.5,1178.1438,3.06138347628764,0.92132404510163,0.2,0.7,0.25,1.5,1146.5468,3.8496405705064,0.51800181129043,0.2,0.7,0.25,1.5
"540",-0.0575445165693061,1169.9464,0.7,0.6,0.5,1.5,0.7,1.3,-829082.091514836,7459.5,7160,-43357,367960,1153.4721,0.583663741387908,1.26547717787729,0.5,1,0.25,1.5,1143.199,1.08860201299285,1.45930433837112,0.2,0.9,0.25,1.5,1184.33,2,1.3,0,0.6,0.25,1.5,1178.1438,3.06138347628764,0.92132404510163,0.2,0.7,0.25,1.5
